Name,Description,Cuisine,Hours,Good for,Address,Price,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rose Veranda,"Located at the mezzanine level of Shangri-La Hotel, Singapore in Orchard, The Rose Veranda is the epitome of elegance. Despite the hotel's central position in the heart of town, the restaurant, known for their high tea offerings, has an ambience that is serene and soothing, allowing patrons to dine in plush comfort.

The High Tea at The Rose Veranda is something of an experience. Pairing elegant dining with an exquisite tea selection, it's impossible not to fall in love with the High Tea buffet here. Upon arriving at the restaurant, diners are greeted by an impressive range of artisanal A.muse, Gryphon and Monogram teas that they have on display. The friendly waitstaff take you on a journey through the rows of teas, where you get to take a few whiffs to help you make your selection. Opt for the Monogram Tea Layering option and be mesmerised by the nuanced flavours that you can get from the variety of brews available.

To go with the artisanal tea experience is a beautiful spread of delectable delights. Showcasing both local and international eats, the selections come in dainty portions so that diners can enjoy more with less. Their freshly baked breads and elegantly curated salads are perfect for light bites, but heavier dishes such as Beef Bourguignon and Laksa are also available for those who prefer something a little more hearty. There's also a carving station that serves up top-notch roasts and salmon, and a sushi and sashimi counter which are not to be missed.

Those with a sweet tooth will be thrilled to see the dessert section at The Rose Veranda. The pâtissière churns out delicate pieces of desserts and sweets that are both appealing to the sight and taste. Gorgeous sweet treats such as fruit tarts, mochi balls formed into mini apples, Crème Brûlée, and other charming options line the dessert station. For a touch of fun, let the little ones get creative with the chocolate fountain, where they can dip skewers of fruits and marshmallows into silky, molten chocolate to create their own dessert masterpieces.

Whether you're looking to spend quality time with your significant other or to catch up with your friends over a leisurely meal, the grub, ambience, and service here will not let you down. (Jul 2017)","Buffet, International","Mon-Fri: 11:30am-5pmSat-Sun & PH: 11:30am-2pm, 3-5:30pm","Business Meetings, Casual Dining","22 Orange Grove RoadMezzanine Level, Tower WingShangri-La HotelSingapore (258350)",$$$,https://static.chope.co/uploads/2019/02/3_Tier_High_Tea_Set_jpg_1551252211.jpg https://static.chope.co/uploads/2018/11/Rose_Veranda_Interior_jpg_1542967183.jpg https://static.chope.co/uploads/2017/06/Rose_Veranda_Chocolate_Cremeux_1496657640.JPG https://static.chope.co/uploads/2012/05/RV_tea_(high_res)_jpg_1335953450.jpg https://static.chope.co/uploads/2012/05/The_Rose_Veranda_(new)_jpg_1335953450.jpg https://static.chope.co/uploads/2016/01/Rose_Veranda_High_Tea_Spread_j_1451905379.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosso Vino,"Enjoy 10% off at Rosso Vino when you purchase vouchers from ChopeDeals
This offer is not valid with 'Chope Exclusives', other discounts and promotions.
Click here to purchase.","Bar, Italian, Seafood, Steakhouse, Vegetarian Friendly, Cafe",Mon-Sun: 3pm-1am,"Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Pet Friendly, Private Functions, Quiet Dinner, Romantic Dates, Large Parties (16+)",15 Merbau RoadSingapore (239032),$$,https://static.chope.co/uploads/2018/01/Penne_Seafood_jpg_1515380822.jpg https://static.chope.co/uploads/2018/01/Parmigiana_Di_Melanzane_jpg_1515380822.jpg https://static.chope.co/uploads/2018/04/Prosciutto_Crudo_e_Rucola_Pizz_1525082195.jpg https://static.chope.co/uploads/2018/01/Calzone_Rosso_Vino_Pizza_jpg_1515380821.jpg https://static.chope.co/uploads/2018/01/Insalata_Pere_e_Gorgonzola_jpg_1515380822.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Indian Restaurant,"The elegant and unique Royal Indian Restaurant is located in Jalan Besar near Mustafa Shopping Centre. Executive Chef, Mr Khan has over 30 years of experience working 5-star hotels in India, Saudi Arabia, and Singapore.
Royal Indian Restaurant specializes in Middle Eastern Food including Lebanese Grill and North Indian food specialising in Tandoori Grills. Our emphasis is on unique, rare and treasured recipes, gleaned from royal households of India and the Middle East.
We love what we do, our wonderful staff, the food we serve, the location we have and the service we provide. We are motivated by our guests' enjoyment! (Dec 2018)","Indian, Middle Eastern",Mon-Sun: 8am-3am,Casual Dining,227 Jalan Besar#01-01Singapore (208904),$$$,https://static.chope.co/uploads/2018/12/SG_Royal_Indian_Restaurant_chi_1545210008.jpg https://static.chope.co/uploads/2018/12/SG_Royal_Indian_Restaurant_RES_1545210145.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Palm @ Orchid Country Club,"Nothing completes a day out at the balmy Orchid Country Club quite like a sumptuous buffet, and the Royal Palm offers one of the most extensive buffets in town, drawing from the flavours of Singapore, the region, the Mediterranean, and the Middle East. Think big, robust flavours of local favourites such as Soup Tulang, Beef Rendang, Fish Head Curry, Chilli Crab and Black Pepper Crab.
No buffet is complete without à la minute stations, and the live BBQ station on Fridays to Sundays is an absolute must to try. Think Roasted Lamb, Chicken Wings, Satays and so much more! All this happens in a luxurious, opulent dining hall that’s perfectly Instagram-worthy, perfect for family outings and greedy date nights. Treat yourself, you deserve it. (Feb 2019)","International, Halal Certified",Mon-Sun: 11am-10:30pm,"Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Private Functions, Large Parties (16+)",1 Orchid Club Road01-21/22Orchid Country ClubSingapore (769162),$$$,https://static.chope.co/uploads/2017/05/Interior_of_Royal_Palm_occ_jpg_1496047672.jpg https://static.chope.co/uploads/2017/05/Dining_area_royal_palm_occ_jpg_1496047683.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royale,"Royale, situated within the Mercure Hotel in Bugis, truly delivers on its name. You enter to an opulent, almost regal dining room done up with baroque style finishes and furnishings that include plush upholstered seats, leather touches, and gold studs. It’s possibly one of the most intimate and cushy hotel dining experiences in the city, with its cosy booth seats and banquet-style semi-circular tables for larger groups. Bathed in bright sunlight in the day and romantically candle-hued in the night, this is a space that makes you feel like royalty. The food, of course, is the main appeal, featuring an all-day menu of modern European classics like an Oven-baked Alaskan Cod Fillet, buttery and tender cod served with poached white and green asparagus, and truffle mash, all bathed in a pool of rich superior broth studded with bittersweet cress. Then there’s the Pan-Seared Char Siew Rack of Lamb, featuring beautifully fatty New Zealand lamb given the charred-edge char siew treatment, marinated in a lovely sweet sauce and glazed to perfection.
For more Asian flavours, there is a stellar rendition of Hokkien Prawn Noodles, full of smoky flavours, and a fiery Sambal Fried Rice.There’s even a Peranakan Dinner Buffet, featuring over twenty favourites from the traditional Peranakan kitchen, including deliciously tart and savoury Duck Soup, flavoured with sour tamarind and preserved vegetables, as well as the all-time classic Babi Pongteh, meltingly tender chunks of pork in a rich, spicy gravy. Beef Rendang, Peranakan Chicken Curry, and Chap Chye round up the buffet selection, a true feast that would make any Nyonya proud. Variety is the name of the game at Royale, choose your dining experience, and have it served up to you in an evening of indulgent opulence. (Oct 2017)","Buffet, International, Local",Mon-Sun: 6am-11pm,"Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates",122 Middle RoadLevel 3Mercure Singapore BugisSingapore (188973),$$$,https://static.chope.co/uploads/2018/05/SG_Royale_Live_Asian_BBQ_jpg_1527148697.jpg https://static.chope.co/uploads/2017/10/Pan_Seared_Seabass_with_Morel__1508234162.jpg https://static.chope.co/uploads/2017/10/Duo_Cooked_Garlic_Prawns_and_G_1508234162.jpg https://static.chope.co/uploads/2017/10/Royale_Baked_Alaska_jpg_1507111071.jpg https://static.chope.co/uploads/2017/10/Royale_Black_Pepper_Beef_Tende_1507111071.jpg https://static.chope.co/uploads/2018/03/SG_Royale_Surf_and_Turf_Highlights_jpg_1521687582.jpg https://static.chope.co/uploads/2017/10/Royale_Chocolate_Fondant_jpg_1507111071.jpg https://static.chope.co/uploads/2017/10/Royale_Wok_Charred_Salmon_jpg_1507111071.jpg https://static.chope.co/uploads/2017/10/Royale_Oven_Baked_Spring_Chick_1507111071.jpg https://static.chope.co/uploads/2017/10/Royale_Interior_jpg_1507111071.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBATO Italian Restaurant & Wine Bar,"RUBATO Italian Restaurant & Wine Bar takes its welcoming ambiance and understated decor a step further by keeping their kitchen open from 11am till 10:30pm. Located on Greenwood Avenue just off Bukit Timah Road, RUBATO keeps its décor simple and fresh, just like its menu. Ingredients are handpicked, pasta are homemade and cooked a la minute, and pizza are cooked to perfection in a wood-fired oven. In fact, the Chef Specialities vary each day depending on what owner, Marcus Edwin Wu, finds on his nightly journey to Jurong Port, where he selects the freshest seafood to serve.

With the food taking centre stage, RUBATO Italian Restaurant & Wine Bar is a place where serious foodies can focus on great food whenever the mood strikes them. (Jan 2014)","Italian, Vegetarian Friendly",Mon-Fri: 11:30am till lateSat-Sun: 11am till late,"Al Fresco, Pet Friendly, Quiet Dinner, Romantic Dates",12 Greenwood AvenueSingapore (289204),$$,https://static.chope.co/uploads/2016/05/Prosciutto_Pizza_jpg_1463713170.jpg https://static.chope.co/uploads/2016/05/Squid_jpg_1463713307.jpg https://static.chope.co/uploads/2016/06/Rubato_Squid_Ink_Pasta_jpg_1464754785.jpg https://static.chope.co/uploads/2016/05/Exterior_jpg_1463713045.jpg https://static.chope.co/uploads/2016/05/Pizza_jpg_1463712894.jpg https://static.chope.co/uploads/2016/05/Prosciutto_Burrata_jpg_1463712984.jpg https://static.chope.co/uploads/2012/08/choc-fondant_jpg_1344411732.jpg https://static.chope.co/uploads/2012/08/_MG_3495-copy_jpg_1344411732.jpg https://static.chope.co/uploads/2012/08/9weblogo_jpg_1344411732.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah Rasa,"Enjoy up to 40% off at Rumah Rasa when you purchase Buffet vouchers from ChopeDeals.
This offer is not valid with 'Chope Exclusives', other discounts and promotions.
Click here to purchase.","Buffet, Indonesian, Vegetarian Friendly, Halal Certified",Mon-Sun: 6:30am-11pm,"Al Fresco, Casual Dining, Kid Friendly, Drinks, Quiet Dinner, Large Parties (16+)",50 Telok Blangah RoadTravelodge HarbourfrontSingapore (098828),$$,https://static.chope.co/uploads/2017/07/Rumah_Rasa_Ayam_Panggang_Berka_1499314203.jpg https://static.chope.co/uploads/2018/10/SG_Rumah_Rasah_Tahu_Telor_jpg_1540801681.jpg https://static.chope.co/uploads/2018/10/SG_Rumah_Rasah_Spicy_Indonesian_Tempe_jpg_1540801705.jpg https://static.chope.co/uploads/2018/10/SG_Rumah_Rasah_Pisang_Ijo_jpg_1540801721.jpg https://static.chope.co/uploads/2017/07/Rumah_Rasa_Bubur_Hitam_jpg_1499314203.jpg https://static.chope.co/uploads/2018/10/SG_Rumah_Rasah_Lumpia_Semarang_jpg_1540801741.jpg https://static.chope.co/uploads/2017/07/Rumah_Rasa_Kang_Kong_jpg_1499314203.jpg https://static.chope.co/uploads/2017/07/Rumah_Rasa_Pisang_Goreng_Keju__1499314204.jpg https://static.chope.co/uploads/2017/07/Rumah_Rasa_Serunding_Ayam_jpg_1499314204.jpg https://static.chope.co/uploads/2017/07/Rumah_Rasa_Sup_Buntut_jpg_1499314204.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah Rasa,"Enjoy up to 40% off at Rumah Rasa when you purchase Buffet vouchers from ChopeDeals.
This offer is not valid with 'Chope Exclusives', other discounts and promotions.
Click here to purchase.","Buffet, Indonesian, Vegetarian Friendly, Halal Certified",Mon-Sun: 6:30am-11pm,"Al Fresco, Casual Dining, Kid Friendly, Drinks, Quiet Dinner, Large Parties (16+)",50 Telok Blangah RoadTravelodge HarbourfrontSingapore (098828),$$,https://static.chope.co/uploads/2017/07/Rumah_Rasa_Ayam_Panggang_Berka_1499314203.jpg https://static.chope.co/uploads/2018/10/SG_Rumah_Rasah_Tahu_Telor_jpg_1540801681.jpg https://static.chope.co/uploads/2018/10/SG_Rumah_Rasah_Spicy_Indonesian_Tempe_jpg_1540801705.jpg https://static.chope.co/uploads/2018/10/SG_Rumah_Rasah_Pisang_Ijo_jpg_1540801721.jpg https://static.chope.co/uploads/2017/07/Rumah_Rasa_Bubur_Hitam_jpg_1499314203.jpg https://static.chope.co/uploads/2018/10/SG_Rumah_Rasah_Lumpia_Semarang_jpg_1540801741.jpg https://static.chope.co/uploads/2017/07/Rumah_Rasa_Kang_Kong_jpg_1499314203.jpg https://static.chope.co/uploads/2017/07/Rumah_Rasa_Pisang_Goreng_Keju__1499314204.jpg https://static.chope.co/uploads/2017/07/Rumah_Rasa_Serunding_Ayam_jpg_1499314204.jpg https://static.chope.co/uploads/2017/07/Rumah_Rasa_Sup_Buntut_jpg_1499314204.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runway80,"Lively cafe by day and chill bar at night, this tranquil Tai Seng spot does it all. Aviation paraphernalia line the walls of this cosy spot, a symbol of the passion of the owners. From clocks from various time zones, to an LED track that mimics a runway, this spot has it all. The love for all things flight doesn’t just stop at the decor either. The menu traces the origin of several iconic Asian and European dishes. All the mains are marked with their country of origin, and named after a code of their city.

The Bangers & Mash here is a hot favourite. Served with your choice of meat sausage - Kurobuta pork, lamb, or beef, this dish comes with earthy truffle mashed potatoes and is topped with black pepper or mushroom gravy, making for a extremely rich and satisfying dish. The Salmon FIllet is another popular, lighter option. Pan-seared Norwegian salmon is served with rich cream sauce and a generous portion of vegetables, making this the perfect option for a hearty, healthy lunch.

Barflies looking for a place to chill after work in east will appreciate Runway80 for their wide selection of spirits, wines, and beers. There are even generous milkshakes and Dutch Colony coffee for diners who prefer non-alcoholic beverages. (Oct 2018)","American, Bar, All-Day Breakfast, Cafe, Burgers",Wed-Mon: 11:30am-1am,"Business Meetings, Casual Dining, Drinks, Private Functions",163 Upper Paya Lebar RoadSingapore (534857),$$,https://static.chope.co/uploads/2018/10/SG_Runway80_Egg_Benedict_Edite_1539862673.jpg https://static.chope.co/uploads/2018/10/SG_Runway80_Fish_Chips_Edited__1539862673.jpg https://static.chope.co/uploads/2018/10/SG_Runway80_Grilled_Steak_Edit_1539862673.jpg https://static.chope.co/uploads/2018/10/SG_Runway80_Interior_Edited_jp_1539862673.jpg https://static.chope.co/uploads/2018/10/SG_Runway80_Onion_Rings_Edited_1539862673.jpg https://static.chope.co/uploads/2018/10/SG_Runway80_Pasta_Edited_jpg_1539862674.jpg https://static.chope.co/uploads/2018/10/SG_Runway80_Sliders_Edited_jpg_1539862674.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruth's Chris Steak House,"Merlot-coloured walls, plush gold and burgundy floors, a sense of timeless elegance, these are just a few gushing phrases that spring to mind upon stepping into Ruth’s Chris Steak House. It makes sense that the décor isn’t overblown because, as the familiar quip goes, all the better to focus on the amazing, New Orleans-inspired food, my dears!

You might expect to come face-to-face with pages of meats once you crack open the menu, given its name, but, refreshingly enough, it starts off with plenty of seafood appetisers. Barbecued Shrimp, Sizzlin’ Jumbo Scallops, their signature Blue Crab Cakes; all good reminders that there’s more to this steak house than just beef. Go a little further, however, and you’ll strike gold: custom-aged Midwestern beef that come in all sorts of cuts, from Ribeye and Porterhouse to Petite Filet for those with a smaller appetite. Pair your juicy, perfectly grilled steaks – which come on a piping hot plate – with a Bleu Cheese Crust, get it Oscar Style with crab cakes, asparagus, and béarnaise sauce, or throw your diet plan out and add on other succulent mains such as Fresh Lobster or an Ahi-Tuna Stack. After all, when at Ruth’s Chris Steak House, following that wise rule of ‘go big or go home’ is what we call a solid plan. (Jun 2016)","American, Steakhouse",Mon-Sun: 11:30am-3pm5:30-11pm,"Fine Dining, Private Functions, Quiet Dinner, Romantic Dates",6 Raffles Boulevard4th FloorMarina Mandarin SingaporeSingapore (039594),$$$$,https://static.chope.co/uploads/2016/06/Ruth_s_Chris_Steakhouse_Fillet_1465985894.jpg https://static.chope.co/uploads/2016/06/Ruth_s_Chris_Steakhouse_BBQ_Sh_1465985894.jpg https://static.chope.co/uploads/2017/10/Lobster_Mac_Cheese_jpg_1507175054.jpg https://static.chope.co/uploads/2016/06/Ruth_s_Chris_Steakhouse_Interi_1465985894.jpg https://static.chope.co/uploads/2016/06/Ruth_s_Chris_Steakhouse_Cheese_1465985894.jpg https://static.chope.co/uploads/2016/06/Ruth_s_Chris_Steakhouse_Cowboy_1465985894.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
